country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,4.9,,,,,4.76,,,,,4.56,,,,,4.38,,,,,4.19,,,,,4.05,,,,,3.89,,,,,3.65,,,,,3.62,,,,,3.74,,,,,3.65,,,,,3.62,,,,,3.86,,,,,4.01,,,,,4.28,,,,,4.62,,,,,5.07,,,,,5.7,,,,,6.56,,,,,7.63,,,,,8.83,,,,,10.3,,,,,12.3,,,,,14.7,,,,,17.1,,,,,19.1,,,,,21.1,,,,,22.9,,,,,24.5,,,,,26,,,,,27.4
Albania,7.83,,,,,7.22,,,,,7.08,,,,,6.73,,,,,6.73,,,,,6.87,,,,,6.89,,,,,6.99,,,,,8.25,,,,,9.55,,,,,10.6,,,,,12.3,,,,,15,,,,,17.8,,,,,21.1,,,,,24.4,,,,,26.6,,,,,28.5,,,,,30.2,,,,,32.4,,,,,34.1,,,,,36.4,,,,,39.6,,,,,41,,,,,40.9,,,,,41.4,,,,,41.9,,,,,42.4,,,,,42.8,,,,,42.9,,,,,42.7
Algeria,5.14,,,,,5.06,,,,,5.47,,,,,5.42,,,,,5.42,,,,,5.18,,,,,4.91,,,,,4.63,,,,,5.2,,,,,5.63,,,,,6.4,,,,,7.04,,,,,7.81,,,,,8.94,,,,,10.1,,,,,11.6,,,,,13.3,,,,,15.2,,,,,17.7,,,,,20.5,,,,,23,,,,,24.8,,,,,25.4,,,,,25.7,,,,,27,,,,,29.4,,,,,31.2,,,,,32.4,,,,,33.2,,,,,33.8,,,,,34.5
Angola,4.49,,,,,4.3,,,,,4.22,,,,,4.2,,,,,4.22,,,,,4.21,,,,,4.17,,,,,4.08,,,,,4.17,,,,,4.01,,,,,3.86,,,,,3.71,,,,,3.6,,,,,3.91,,,,,4.15,,,,,4.37,,,,,4.58,,,,,4.87,,,,,5.25,,,,,5.64,,,,,6.1,,,,,6.59,,,,,7.17,,,,,7.92,,,,,8.85,,,,,9.81,,,,,10.8,,,,,11.8,,,,,12.8,,,,,13.9,,,,,15
Antigua and Barbuda,4.99,,,,,4.68,,,,,5.46,,,,,5.55,,,,,5.64,,,,,6.49,,,,,6.83,,,,,7.26,,,,,10.7,,,,,10,,,,,8.62,,,,,9.31,,,,,8.92,,,,,10.1,,,,,12.2,,,,,15,,,,,19.1,,,,,21.6,,,,,22.5,,,,,23.8,,,,,24.9,,,,,26.2,,,,,27.7,,,,,28.9,,,,,30.1,,,,,31.1,,,,,32.1,,,,,33.1,,,,,33.9,,,,,34.5,,,,,35
Argentina,6.56,,,,,7.36,,,,,8.25,,,,,9.13,,,,,9.94,,,,,10.5,,,,,10.9,,,,,11.2,,,,,13,,,,,13.3,,,,,13.5,,,,,13.8,,,,,14.4,,,,,15.1,,,,,15.9,,,,,16.6,,,,,17.4,,,,,18.6,,,,,20.4,,,,,21.9,,,,,23.5,,,,,25,,,,,26.2,,,,,27.6,,,,,28.8,,,,,30,,,,,31.1,,,,,32.1,,,,,33.1,,,,,33.9,,,,,34.7
Armenia,11.1,,,,,9.08,,,,,7.46,,,,,7.05,,,,,7.16,,,,,7.28,,,,,6.66,,,,,6.92,,,,,10,,,,,12.6,,,,,15.2,,,,,14.4,,,,,14.8,,,,,15.8,,,,,18.8,,,,,21.3,,,,,22.5,,,,,23.4,,,,,25,,,,,27.8,,,,,31.6,,,,,34.2,,,,,34.9,,,,,35.2,,,,,36.4,,,,,38,,,,,38.9,,,,,39,,,,,38.8,,,,,38.5,,,,,38.6
Australia,11.3,,,,,11.3,,,,,11.1,,,,,10.9,,,,,10.7,,,,,11.4,,,,,12,,,,,12.8,,,,,15.4,,,,,15.8,,,,,16.5,,,,,17.4,,,,,18.9,,,,,20.4,,,,,21.9,,,,,23.5,,,,,24.6,,,,,25.8,,,,,26.4,,,,,27.4,,,,,28.3,,,,,29,,,,,29.4,,,,,29.7,,,,,30.4,,,,,31.2,,,,,32.1,,,,,32.8,,,,,33.5,,,,,34.2,,,,,34.9
Austria,14.3,,,,,15.2,,,,,16.4,,,,,17.4,,,,,17.9,,,,,17.9,,,,,16.3,,,,,16.6,,,,,20.1,,,,,19.7,,,,,20.5,,,,,22.1,,,,,23.3,,,,,24.3,,,,,26.5,,,,,29.5,,,,,32.4,,,,,34,,,,,34.9,,,,,36.2,,,,,37.3,,,,,38,,,,,37.8,,,,,37.5,,,,,37.2,,,,,37.1,,,,,37.3,,,,,37.5,,,,,37.7,,,,,37.9,,,,,38.2
Azerbaijan,9.1,,,,,7.77,,,,,7.25,,,,,6.91,,,,,6.68,,,,,6.65,,,,,5.95,,,,,5.86,,,,,7.93,,,,,8.61,,,,,9.28,,,,,8.52,,,,,8.11,,,,,9.27,,,,,11.7,,,,,14.8,,,,,17,,,,,18.5,,,,,19.8,,,,,22,,,,,24.7,,,,,26.9,,,,,27.5,,,,,27.4,,,,,27.6,,,,,29.3,,,,,30.6,,,,,31.2,,,,,31.5,,,,,32,,,,,32.6
Bahamas,6.08,,,,,5.69,,,,,5.16,,,,,4.78,,,,,4.97,,,,,5.33,,,,,5.56,,,,,5.56,,,,,6.52,,,,,7.06,,,,,8.15,,,,,9.43,,,,,10.5,,,,,12.6,,,,,15.2,,,,,18.1,,,,,20.3,,,,,22.5,,,,,23.9,,,,,25.8,,,,,27.7,,,,,29.7,,,,,31,,,,,31.3,,,,,32,,,,,32.9,,,,,33.6,,,,,34.2,,,,,34.7,,,,,35.1,,,,,35.4
Bahrain,4.34,,,,,4.27,,,,,4.45,,,,,2.56,,,,,3.86,,,,,3.51,,,,,3.49,,,,,3.67,,,,,3.71,,,,,3.86,,,,,3.84,,,,,3.44,,,,,3.55,,,,,4.13,,,,,5.36,,,,,7.16,,,,,9.21,,,,,11.6,,,,,14.3,,,,,15.9,,,,,17.4,,,,,19.6,,,,,23.1,,,,,26.7,,,,,29.7,,,,,32.7,,,,,35,,,,,36.2,,,,,36.7,,,,,37,,,,,37.1
Bangladesh,5.47,,,,,4.69,,,,,4.47,,,,,4.53,,,,,4.61,,,,,4.98,,,,,4.93,,,,,4.77,,,,,5.13,,,,,5.44,,,,,6.03,,,,,6.58,,,,,6.9,,,,,7.06,,,,,7.91,,,,,9.6,,,,,11.7,,,,,13.8,,,,,16.3,,,,,19.2,,,,,22,,,,,24.8,,,,,27.6,,,,,30.2,,,,,32.4,,,,,34.3,,,,,35.9,,,,,37.2,,,,,38.2,,,,,38.8,,,,,39.3
Barbados,7.61,,,,,8.15,,,,,8.99,,,,,10.1,,,,,10.9,,,,,12.4,,,,,12.4,,,,,11.4,,,,,13.5,,,,,13.9,,,,,15.1,,,,,15.5,,,,,17.3,,,,,19.8,,,,,22.9,,,,,25.8,,,,,27.7,,,,,29.4,,,,,30.1,,,,,30.8,,,,,31,,,,,31.2,,,,,31.4,,,,,31.8,,,,,32.2,,,,,32.7,,,,,33.2,,,,,33.6,,,,,34,,,,,34.4,,,,,34.8
Belarus,11.3,,,,,10.8,,,,,10.4,,,,,10.9,,,,,11.7,,,,,12.5,,,,,11.9,,,,,12.5,,,,,16.6,,,,,17.7,,,,,19.2,,,,,18.6,,,,,19.1,,,,,20.4,,,,,22.7,,,,,24.7,,,,,25.7,,,,,26.8,,,,,28,,,,,29.6,,,,,31.4,,,,,31.8,,,,,30.8,,,,,29.9,,,,,29.7,,,,,30.4,,,,,31,,,,,31.4,,,,,31.6,,,,,31.6,,,,,32
Belgium,14.5,,,,,14.9,,,,,15.6,,,,,16.4,,,,,17,,,,,17.1,,,,,15.8,,,,,16.5,,,,,20.6,,,,,21.4,,,,,22,,,,,22.1,,,,,23.2,,,,,24,,,,,25.5,,,,,27.5,,,,,29.2,,,,,30.4,,,,,31.3,,,,,32,,,,,32.4,,,,,32.8,,,,,32.7,,,,,32.7,,,,,33,,,,,33.4,,,,,33.9,,,,,34.3,,,,,34.7,,,,,35,,,,,35.5
Belize,5.61,,,,,5.76,,,,,5.98,,,,,5.9,,,,,5.94,,,,,6.17,,,,,5.48,,,,,5.09,,,,,6.06,,,,,6.24,,,,,5.56,,,,,4.71,,,,,5.69,,,,,5.94,,,,,6.64,,,,,7.75,,,,,8.98,,,,,10.4,,,,,11.7,,,,,13.3,,,,,15.1,,,,,17.2,,,,,19.4,,,,,21.4,,,,,22.8,,,,,24.1,,,,,25.5,,,,,26.9,,,,,28.1,,,,,29.2,,,,,30.1
Benin,10.3,,,,,8.37,,,,,7.59,,,,,7.1,,,,,6.92,,,,,6.54,,,,,6.04,,,,,5.48,,,,,5.53,,,,,5.19,,,,,4.98,,,,,4.97,,,,,4.92,,,,,4.95,,,,,5.08,,,,,5.32,,,,,5.64,,,,,5.99,,,,,6.4,,,,,6.87,,,,,7.44,,,,,8.11,,,,,8.86,,,,,9.65,,,,,10.5,,,,,11.4,,,,,12.3,,,,,13.2,,,,,14.1,,,,,15,,,,,16
Bhutan,4.13,,,,,3.97,,,,,3.87,,,,,3.81,,,,,3.77,,,,,3.8,,,,,3.89,,,,,4.09,,,,,4.63,,,,,5.09,,,,,5.45,,,,,5.7,,,,,6.21,,,,,6.85,,,,,8.02,,,,,9.29,,,,,11.3,,,,,13.3,,,,,16.2,,,,,19.9,,,,,23.7,,,,,26.8,,,,,29.2,,,,,31,,,,,32.6,,,,,33.8,,,,,35,,,,,35.8,,,,,36.4,,,,,36.8,,,,,37
Bolivia,7.85,,,,,7.1,,,,,6.4,,,,,5.94,,,,,5.68,,,,,5.57,,,,,5.52,,,,,5.74,,,,,6.68,,,,,6.97,,,,,7.2,,,,,7.77,,,,,8.35,,,,,9.22,,,,,9.92,,,,,10.6,,,,,11.4,,,,,12.4,,,,,13.8,,,,,15.3,,,,,17,,,,,18.7,,,,,20.6,,,,,22.3,,,,,23.9,,,,,25.4,,,,,26.8,,,,,28.2,,,,,29.5,,,,,30.7,,,,,31.8
Bosnia and Herzegovina,5.56,,,,,5.04,,,,,5.61,,,,,6.42,,,,,7.12,,,,,7.37,,,,,6.99,,,,,7.5,,,,,11,,,,,14.4,,,,,16.8,,,,,17.4,,,,,19.2,,,,,22.4,,,,,24.9,,,,,27.7,,,,,29.3,,,,,31.1,,,,,32.7,,,,,34.4,,,,,36.1,,,,,37.6,,,,,39.2,,,,,39.2,,,,,39.2,,,,,38.9,,,,,38.7,,,,,38.7,,,,,38.7,,,,,38.7,,,,,38.6
Botswana,6.57,,,,,6.09,,,,,5.33,,,,,4.9,,,,,4.26,,,,,3.73,,,,,3.59,,,,,3.72,,,,,4.09,,,,,4.35,,,,,4.7,,,,,5.04,,,,,5.35,,,,,6.08,,,,,6.83,,,,,7.6,,,,,8.55,,,,,9.93,,,,,12,,,,,14.6,,,,,16.9,,,,,18.8,,,,,20.3,,,,,21.5,,,,,22.7,,,,,24.3,,,,,25.8,,,,,27.1,,,,,28.2,,,,,29.1,,,,,29.9
Brazil,4.58,,,,,4.67,,,,,4.88,,,,,4.92,,,,,5.1,,,,,5.31,,,,,5.37,,,,,5.55,,,,,6.42,,,,,6.86,,,,,7.73,,,,,8.68,,,,,10,,,,,11.9,,,,,14,,,,,16.4,,,,,18.8,,,,,21.2,,,,,24,,,,,27,,,,,29.6,,,,,31.9,,,,,34.1,,,,,35.7,,,,,36.8,,,,,37.7,,,,,38.4,,,,,38.8,,,,,39.1,,,,,39.3,,,,,39.4
Brunei,6.85,,,,,6.47,,,,,5.75,,,,,5.37,,,,,5.17,,,,,5.13,,,,,3.84,,,,,3.97,,,,,4.01,,,,,4.2,,,,,3.88,,,,,4.82,,,,,5.38,,,,,7.09,,,,,9.58,,,,,12.5,,,,,15.8,,,,,19.3,,,,,22.7,,,,,26,,,,,28.7,,,,,30.5,,,,,32.1,,,,,33.2,,,,,33.7,,,,,34.5,,,,,35.3,,,,,36,,,,,36.5,,,,,36.9,,,,,37.2
Bulgaria,9.48,,,,,9.63,,,,,10.3,,,,,11.7,,,,,13.3,,,,,14.6,,,,,14.1,,,,,15.6,,,,,19.3,,,,,21.3,,,,,22.1,,,,,23.1,,,,,25.3,,,,,27.1,,,,,28.3,,,,,29.2,,,,,30.2,,,,,31.9,,,,,33.8,,,,,35,,,,,36.4,,,,,36.6,,,,,35.2,,,,,34.2,,,,,34.2,,,,,34.1,,,,,34.3,,,,,34.6,,,,,34.8,,,,,34.8,,,,,35.1
Burkina Faso,3.66,,,,,4,,,,,4.23,,,,,4.55,,,,,4.82,,,,,5.05,,,,,5.14,,,,,5.11,,,,,5.09,,,,,4.69,,,,,4.32,,,,,4.08,,,,,3.9,,,,,3.84,,,,,3.93,,,,,4.13,,,,,4.44,,,,,4.81,,,,,5.31,,,,,5.89,,,,,6.49,,,,,7.14,,,,,7.92,,,,,8.84,,,,,9.94,,,,,11.1,,,,,12.3,,,,,13.5,,,,,14.7,,,,,16,,,,,17.4
Burundi,4.94,,,,,4.66,,,,,4.65,,,,,4.69,,,,,4.66,,,,,4.92,,,,,4.78,,,,,4.61,,,,,4.78,,,,,4.59,,,,,4.51,,,,,4.21,,,,,4.01,,,,,4.22,,,,,4.59,,,,,4.81,,,,,4.94,,,,,4.89,,,,,5.12,,,,,5.68,,,,,6.48,,,,,7.24,,,,,7.77,,,,,8.31,,,,,9.13,,,,,10.2,,,,,11.3,,,,,12.4,,,,,13.4,,,,,14.5,,,,,15.6
Cambodia,4.32,,,,,4.09,,,,,4,,,,,4.01,,,,,4.06,,,,,4.15,,,,,4.45,,,,,4.52,,,,,4.79,,,,,4.92,,,,,4.92,,,,,5.32,,,,,5.88,,,,,6.76,,,,,7.56,,,,,8.97,,,,,10.2,,,,,11.3,,,,,11.3,,,,,15.3,,,,,16.9,,,,,19.6,,,,,21.5,,,,,22.7,,,,,24.2,,,,,25.9,,,,,27.5,,,,,28.9,,,,,30.1,,,,,31.3,,,,,32.4
Cameroon,5.49,,,,,5.52,,,,,5.58,,,,,5.6,,,,,5.58,,,,,5.52,,,,,5.42,,,,,5.26,,,,,5.51,,,,,5.34,,,,,5.18,,,,,5.01,,,,,4.86,,,,,4.78,,,,,4.76,,,,,4.87,,,,,5.13,,,,,5.55,,,,,6.17,,,,,7.02,,,,,7.98,,,,,8.91,,,,,9.83,,,,,10.9,,,,,12.2,,,,,13.5,,,,,14.8,,,,,16,,,,,17.3,,,,,18.5,,,,,19.7
Canada,10.2,,,,,9.95,,,,,9.59,,,,,9.57,,,,,9.96,,,,,10.7,,,,,11.5,,,,,12.6,,,,,15.5,,,,,16.1,,,,,16.7,,,,,17.9,,,,,20,,,,,22.4,,,,,25.2,,,,,27.8,,,,,29.2,,,,,30,,,,,30.7,,,,,31.5,,,,,32,,,,,32.7,,,,,33,,,,,33,,,,,33.5,,,,,34,,,,,34.5,,,,,34.9,,,,,35.3,,,,,35.6,,,,,36.1
Cape Verde,9.37,,,,,7.02,,,,,6.7,,,,,6.08,,,,,6.46,,,,,6.88,,,,,6.35,,,,,5.68,,,,,6.78,,,,,6.92,,,,,7.36,,,,,7.21,,,,,6.66,,,,,6.73,,,,,7.34,,,,,8.83,,,,,10.2,,,,,11.4,,,,,12.9,,,,,15.3,,,,,18.2,,,,,21.3,,,,,24,,,,,26.2,,,,,28,,,,,29.6,,,,,31.1,,,,,32.5,,,,,33.6,,,,,34.6,,,,,35.3
Central African Republic,7.48,,,,,6.85,,,,,6.58,,,,,6.33,,,,,6.18,,,,,6.14,,,,,5.98,,,,,5.83,,,,,6.25,,,,,6.08,,,,,5.89,,,,,5.68,,,,,5.46,,,,,5.48,,,,,5.45,,,,,5.36,,,,,5.34,,,,,5.48,,,,,5.82,,,,,6.34,,,,,7.01,,,,,7.95,,,,,9.36,,,,,11.1,,,,,12.7,,,,,14.3,,,,,15.6,,,,,17.1,,,,,18.7,,,,,20.4,,,,,21.9
Chad,6.57,,,,,6.08,,,,,5.92,,,,,5.76,,,,,5.62,,,,,5.45,,,,,5.22,,,,,4.98,,,,,5.05,,,,,4.74,,,,,4.45,,,,,4.19,,,,,3.96,,,,,3.97,,,,,3.97,,,,,3.97,,,,,4.01,,,,,4.2,,,,,4.52,,,,,4.98,,,,,5.57,,,,,6.31,,,,,7.18,,,,,8.16,,,,,9.22,,,,,10.3,,,,,11.5,,,,,12.7,,,,,13.9,,,,,15.1,,,,,16.3
Chile,6.37,,,,,6.7,,,,,6.87,,,,,6.97,,,,,7.06,,,,,7.12,,,,,7.31,,,,,7.57,,,,,9.13,,,,,9.76,,,,,10.5,,,,,11.8,,,,,13.2,,,,,15.2,,,,,17.4,,,,,19.9,,,,,22.4,,,,,24.6,,,,,26.4,,,,,28.3,,,,,30.6,,,,,32.5,,,,,34,,,,,35.1,,,,,36,,,,,36.8,,,,,37.4,,,,,37.8,,,,,38.2,,,,,38.5,,,,,38.8
China,7.14,,,,,6.6,,,,,6.02,,,,,5.74,,,,,5.95,,,,,6.39,,,,,7.11,,,,,7.55,,,,,8.52,,,,,9.31,,,,,10.2,,,,,11,,,,,12.6,,,,,15.4,,,,,17.6,,,,,20.8,,,,,25.1,,,,,28.5,,,,,30.1,,,,,31.8,,,,,35.1,,,,,36.4,,,,,36.3,,,,,36.1,,,,,36.3,,,,,37,,,,,37.4,,,,,37.5,,,,,37.5,,,,,37.5,,,,,37.7
Colombia,4.9,,,,,4.7,,,,,4.74,,,,,4.8,,,,,4.9,,,,,5.05,,,,,5.11,,,,,5.3,,,,,6.13,,,,,6.44,,,,,6.92,,,,,7.65,,,,,8.97,,,,,10.8,,,,,13,,,,,15.6,,,,,18.2,,,,,20.3,,,,,22.6,,,,,25.1,,,,,27.5,,,,,29.7,,,,,31.4,,,,,33.1,,,,,34.5,,,,,35.5,,,,,36.3,,,,,36.8,,,,,37.2,,,,,37.4,,,,,37.7
Comoros,5.59,,,,,5.14,,,,,4.83,,,,,4.72,,,,,4.84,,,,,4.96,,,,,4.96,,,,,4.81,,,,,4.94,,,,,4.81,,,,,4.73,,,,,4.62,,,,,4.5,,,,,4.71,,,,,5.12,,,,,5.59,,,,,6.07,,,,,6.59,,,,,7.23,,,,,8.11,,,,,9.07,,,,,9.96,,,,,10.8,,,,,11.7,,,,,12.7,,,,,13.8,,,,,14.9,,,,,16,,,,,17,,,,,18,,,,,19
"Congo, Dem. Rep.",4.88,,,,,4.53,,,,,4.41,,,,,4.38,,,,,4.38,,,,,4.4,,,,,4.43,,,,,4.44,,,,,4.75,,,,,4.75,,,,,4.73,,,,,4.73,,,,,4.72,,,,,4.66,,,,,4.68,,,,,4.78,,,,,4.96,,,,,5.2,,,,,5.51,,,,,5.91,,,,,6.42,,,,,7.04,,,,,7.79,,,,,8.77,,,,,9.99,,,,,11.4,,,,,12.9,,,,,14.5,,,,,16.1,,,,,17.8,,,,,19.5
"Congo, Rep.",5.28,,,,,5.34,,,,,5.54,,,,,5.63,,,,,5.62,,,,,5.52,,,,,5.4,,,,,5.3,,,,,5.71,,,,,5.6,,,,,5.4,,,,,5.18,,,,,5.02,,,,,5.09,,,,,5.31,,,,,5.7,,,,,6.25,,,,,6.93,,,,,7.66,,,,,8.27,,,,,8.68,,,,,9.04,,,,,9.63,,,,,10.5,,,,,11.7,,,,,12.9,,,,,14.1,,,,,15.1,,,,,16.3,,,,,17.5,,,,,18.7
Costa Rica,4.54,,,,,4.52,,,,,4.51,,,,,4.63,,,,,4.92,,,,,5.34,,,,,5.57,,,,,5.85,,,,,7.07,,,,,7.62,,,,,8.34,,,,,9.45,,,,,11.1,,,,,12.8,,,,,15.2,,,,,18,,,,,20.6,,,,,22.6,,,,,25,,,,,27.7,,,,,30.5,,,,,32.9,,,,,35,,,,,36.3,,,,,37.5,,,,,38.4,,,,,39.1,,,,,39.5,,,,,39.7,,,,,39.9,,,,,40
Cote d'Ivoire,3.84,,,,,3.92,,,,,3.97,,,,,3.96,,,,,3.92,,,,,3.89,,,,,3.89,,,,,3.97,,,,,4.4,,,,,4.56,,,,,4.58,,,,,4.6,,,,,4.66,,,,,4.74,,,,,4.82,,,,,4.9,,,,,4.99,,,,,5.19,,,,,5.51,,,,,5.87,,,,,6.32,,,,,6.9,,,,,7.61,,,,,8.27,,,,,8.91,,,,,9.63,,,,,10.4,,,,,11.3,,,,,12.1,,,,,13,,,,,13.8
Croatia,10.2,,,,,9.45,,,,,10.3,,,,,11.8,,,,,13.6,,,,,14.4,,,,,13.4,,,,,13.8,,,,,17.4,,,,,20.1,,,,,21.8,,,,,21.9,,,,,23.8,,,,,25.8,,,,,28,,,,,30,,,,,31.2,,,,,32.7,,,,,34.3,,,,,35.8,,,,,37.1,,,,,37.6,,,,,38.3,,,,,38.2,,,,,38.7,,,,,39.1,,,,,39.1,,,,,39,,,,,38.9,,,,,38.8,,,,,38.9
Cuba,6.33,,,,,6.29,,,,,6.72,,,,,7.54,,,,,8.31,,,,,9.07,,,,,9.68,,,,,10,,,,,12.1,,,,,12.7,,,,,13.8,,,,,15.2,,,,,17,,,,,19.4,,,,,21.6,,,,,26.4,,,,,30.9,,,,,34.7,,,,,35.7,,,,,36.5,,,,,38.2,,,,,39,,,,,39.2,,,,,38.9,,,,,38.4,,,,,38.6,,,,,39,,,,,39.3,,,,,39.4,,,,,39.5,,,,,39.7
