country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Lebanon,9.49,,,,,8.63,,,,,7.54,,,,,6.96,,,,,6.76,,,,,6.67,,,,,6.59,,,,,7.09,,,,,9.21,,,,,9.49,,,,,10.4,,,,,10.7,,,,,11.9,,,,,11.5,,,,,13.1,,,,,16.2,,,,,19,,,,,21.1,,,,,23.6,,,,,27.2,,,,,31.2,,,,,35.1,,,,,37.9,,,,,39.4,,,,,39.4,,,,,39.4,,,,,39.3,,,,,39.8,,,,,40.5,,,,,40.8,,,,,40.7
Lesotho,6.52,,,,,6.3,,,,,6.15,,,,,6.09,,,,,6.11,,,,,6,,,,,5.82,,,,,5.85,,,,,6.38,,,,,6.59,,,,,6.5,,,,,6.33,,,,,6.65,,,,,6.74,,,,,6.56,,,,,6.19,,,,,5.9,,,,,5.87,,,,,6.43,,,,,7.74,,,,,9.44,,,,,11.3,,,,,13.1,,,,,14.6,,,,,16,,,,,17.8,,,,,19.6,,,,,21.3,,,,,22.7,,,,,24.1,,,,,25.3
Liberia,4.63,,,,,4.22,,,,,4.08,,,,,4.06,,,,,4.11,,,,,4.24,,,,,4.41,,,,,4.57,,,,,4.86,,,,,4.92,,,,,5.02,,,,,4.9,,,,,4.76,,,,,4.83,,,,,5.02,,,,,5.29,,,,,5.65,,,,,6.15,,,,,6.77,,,,,7.5,,,,,8.22,,,,,8.95,,,,,9.94,,,,,11.2,,,,,12.4,,,,,13.7,,,,,15,,,,,16.3,,,,,17.6,,,,,19,,,,,20.5
Libya,7.53,,,,,6.58,,,,,5.6,,,,,4.94,,,,,4.52,,,,,4.27,,,,,4.21,,,,,4.38,,,,,4.98,,,,,5.37,,,,,5.72,,,,,5.91,,,,,5.97,,,,,6.45,,,,,7.07,,,,,8.45,,,,,11,,,,,14.2,,,,,17.7,,,,,20.5,,,,,22.8,,,,,24.2,,,,,25.1,,,,,26.1,,,,,27.4,,,,,29.1,,,,,30.5,,,,,31.4,,,,,32,,,,,32.5,,,,,32.9
Lithuania,11.8,,,,,11.3,,,,,10.9,,,,,12.1,,,,,13.4,,,,,13.3,,,,,12.3,,,,,12.5,,,,,16.1,,,,,17.5,,,,,19.2,,,,,21.1,,,,,22.4,,,,,24.5,,,,,26.5,,,,,28.6,,,,,29.9,,,,,31,,,,,31.5,,,,,31.8,,,,,32.6,,,,,33.8,,,,,33.8,,,,,33,,,,,32.5,,,,,32.7,,,,,33,,,,,33.5,,,,,33.9,,,,,33.9,,,,,33.9
Luxembourg,13.3,,,,,13.8,,,,,14.6,,,,,15.7,,,,,16.7,,,,,16.7,,,,,15.6,,,,,15.6,,,,,19,,,,,19,,,,,18.8,,,,,19,,,,,19,,,,,19.1,,,,,20.5,,,,,22.4,,,,,24.6,,,,,26.1,,,,,27,,,,,28.2,,,,,28.8,,,,,29.2,,,,,29.7,,,,,30,,,,,30.2,,,,,30.6,,,,,31.2,,,,,31.9,,,,,32.6,,,,,33.3,,,,,34
Madagascar,5.18,,,,,5.22,,,,,5.26,,,,,5.46,,,,,5.68,,,,,5.29,,,,,4.77,,,,,4.56,,,,,4.81,,,,,4.77,,,,,4.58,,,,,4.39,,,,,4.34,,,,,4.65,,,,,5.01,,,,,5.4,,,,,5.86,,,,,6.41,,,,,7.04,,,,,7.7,,,,,8.46,,,,,9.43,,,,,10.6,,,,,11.8,,,,,12.9,,,,,14.1,,,,,15.3,,,,,16.6,,,,,17.9,,,,,19.2,,,,,20.6
Malawi,4.71,,,,,4.46,,,,,4.24,,,,,4.13,,,,,3.85,,,,,3.85,,,,,4.03,,,,,3.95,,,,,4.19,,,,,4.6,,,,,4.43,,,,,4.44,,,,,4.47,,,,,4.31,,,,,4.19,,,,,4.19,,,,,4.38,,,,,4.82,,,,,5.55,,,,,6.48,,,,,7.72,,,,,9.03,,,,,10.4,,,,,11.8,,,,,13.3,,,,,14.7,,,,,16.1,,,,,17.5,,,,,19,,,,,20.4,,,,,21.8
Malaysia,6.69,,,,,5.34,,,,,4.74,,,,,4.51,,,,,4.99,,,,,5.05,,,,,5.18,,,,,5.25,,,,,5.75,,,,,5.86,,,,,6.29,,,,,7.09,,,,,7.88,,,,,9.13,,,,,10.7,,,,,12.3,,,,,13.8,,,,,15.4,,,,,17.2,,,,,19.9,,,,,23.1,,,,,26.1,,,,,28.3,,,,,29.8,,,,,30.7,,,,,31.5,,,,,32.5,,,,,33.5,,,,,34.4,,,,,35,,,,,35.4
Maldives,4.68,,,,,4.39,,,,,4.07,,,,,3.83,,,,,3.95,,,,,4.02,,,,,4.26,,,,,4.42,,,,,4.75,,,,,5.31,,,,,6.1,,,,,6.29,,,,,6.01,,,,,5.97,,,,,7.1,,,,,8.86,,,,,11,,,,,13.5,,,,,16.5,,,,,21.8,,,,,28.4,,,,,33.3,,,,,35.6,,,,,36.4,,,,,37.1,,,,,38.4,,,,,39.4,,,,,39.7,,,,,39.5,,,,,39.2,,,,,39.4
Mali,4.64,,,,,4.2,,,,,4.14,,,,,4.43,,,,,4.84,,,,,5.22,,,,,5.5,,,,,5.58,,,,,5.87,,,,,5.49,,,,,4.98,,,,,4.6,,,,,4.19,,,,,4.02,,,,,3.87,,,,,3.83,,,,,3.99,,,,,4.35,,,,,4.78,,,,,5.21,,,,,5.61,,,,,6.09,,,,,6.73,,,,,7.66,,,,,8.87,,,,,10.1,,,,,11.4,,,,,12.7,,,,,14.2,,,,,15.6,,,,,17.1
Malta,8.7,,,,,8.96,,,,,9.77,,,,,10.8,,,,,12.5,,,,,12.3,,,,,12.4,,,,,12.5,,,,,14.8,,,,,15.9,,,,,16.8,,,,,18.8,,,,,22.9,,,,,25.1,,,,,27.6,,,,,29.3,,,,,30,,,,,31.1,,,,,32.9,,,,,34.8,,,,,36.8,,,,,38.5,,,,,39.2,,,,,39,,,,,38.8,,,,,38.7,,,,,38.7,,,,,38.8,,,,,38.9,,,,,38.9,,,,,38.9
Mauritania,2.8,,,,,3.19,,,,,3.56,,,,,3.9,,,,,4.18,,,,,4.39,,,,,4.53,,,,,4.63,,,,,4.96,,,,,4.98,,,,,4.91,,,,,4.84,,,,,4.82,,,,,4.93,,,,,5.25,,,,,5.69,,,,,6.21,,,,,6.82,,,,,7.47,,,,,8.13,,,,,8.8,,,,,9.44,,,,,10.1,,,,,10.8,,,,,11.5,,,,,12.4,,,,,13.3,,,,,14.1,,,,,15,,,,,15.8,,,,,16.6
Mauritius,4.36,,,,,3.98,,,,,3.83,,,,,3.8,,,,,3.98,,,,,4.28,,,,,5.4,,,,,6.09,,,,,7.2,,,,,7.91,,,,,8.93,,,,,9.64,,,,,12.1,,,,,15.4,,,,,18.4,,,,,21.7,,,,,23.8,,,,,25.4,,,,,27.7,,,,,29,,,,,30.2,,,,,32.6,,,,,34.3,,,,,36.2,,,,,37.1,,,,,37.1,,,,,37,,,,,36.9,,,,,37,,,,,37.2,,,,,37.2
Mexico,4.72,,,,,4.78,,,,,4.92,,,,,5.08,,,,,5.04,,,,,4.97,,,,,4.87,,,,,5.14,,,,,6.34,,,,,6.75,,,,,7.13,,,,,7.72,,,,,8.4,,,,,9.58,,,,,10.9,,,,,12.5,,,,,14.6,,,,,17.4,,,,,19.9,,,,,22.2,,,,,24.6,,,,,27,,,,,29.3,,,,,31.3,,,,,33,,,,,34.6,,,,,36,,,,,37.1,,,,,37.9,,,,,38.5,,,,,38.9
"Micronesia, Fed. Sts.",5.8,,,,,5.38,,,,,5.12,,,,,4.94,,,,,4.81,,,,,6.02,,,,,5.13,,,,,4.97,,,,,5.32,,,,,5.65,,,,,5.21,,,,,5.54,,,,,6.16,,,,,7.52,,,,,8.6,,,,,9.18,,,,,9.06,,,,,8.25,,,,,8.02,,,,,9.71,,,,,12.1,,,,,15,,,,,17.8,,,,,19.8,,,,,20.9,,,,,21.6,,,,,22.6,,,,,24,,,,,25.6,,,,,27,,,,,27.9
Moldova,10.2,,,,,8.81,,,,,8.08,,,,,8.34,,,,,8.75,,,,,9.83,,,,,9.83,,,,,10.6,,,,,12.8,,,,,13.1,,,,,13.7,,,,,13.6,,,,,14.1,,,,,16.5,,,,,18.9,,,,,21.6,,,,,22.6,,,,,23.8,,,,,25.9,,,,,29.2,,,,,34.5,,,,,37.6,,,,,38.3,,,,,37.8,,,,,37.7,,,,,37.9,,,,,37.8,,,,,37.4,,,,,37,,,,,36.7,,,,,36.5
Mongolia,6.72,,,,,7.47,,,,,7.8,,,,,7.44,,,,,7.41,,,,,6.76,,,,,6.46,,,,,6.05,,,,,6.25,,,,,5.85,,,,,5.61,,,,,5.63,,,,,5.66,,,,,6.21,,,,,7.42,,,,,9.35,,,,,11.1,,,,,13,,,,,14.7,,,,,16.5,,,,,18.8,,,,,19.8,,,,,19.9,,,,,19.6,,,,,20.4,,,,,22.8,,,,,24.6,,,,,25.8,,,,,26.7,,,,,27.3,,,,,28.1
Montenegro,9.45,,,,,8.36,,,,,7.9,,,,,7.87,,,,,9.63,,,,,9.62,,,,,9.05,,,,,9.13,,,,,12.5,,,,,14.8,,,,,16.7,,,,,17,,,,,17.9,,,,,20.4,,,,,22.6,,,,,24.7,,,,,25.9,,,,,27.4,,,,,28.9,,,,,30.8,,,,,32.1,,,,,33.6,,,,,34.9,,,,,35.9,,,,,36.9,,,,,37.6,,,,,38,,,,,38.2,,,,,38.4,,,,,38.6,,,,,38.8
Morocco,4.52,,,,,4.72,,,,,4.89,,,,,5.05,,,,,5.05,,,,,4.79,,,,,4.77,,,,,5.26,,,,,6.55,,,,,7.22,,,,,7.73,,,,,8.23,,,,,8.63,,,,,9.95,,,,,11.9,,,,,13.9,,,,,15.7,,,,,17.5,,,,,19.5,,,,,21.8,,,,,24,,,,,26.2,,,,,27.7,,,,,29.1,,,,,30.5,,,,,32.3,,,,,33.8,,,,,35.1,,,,,36,,,,,36.8,,,,,37.6
Mozambique,4.54,,,,,4.5,,,,,4.52,,,,,4.56,,,,,4.6,,,,,4.61,,,,,4.58,,,,,4.59,,,,,5,,,,,4.83,,,,,4.84,,,,,4.83,,,,,4.8,,,,,4.83,,,,,4.85,,,,,4.87,,,,,4.93,,,,,5.15,,,,,5.5,,,,,5.98,,,,,6.55,,,,,7.3,,,,,8.24,,,,,9.37,,,,,10.6,,,,,11.9,,,,,13.1,,,,,14.4,,,,,15.8,,,,,17.2,,,,,18.6
Myanmar,5.43,,,,,5.38,,,,,5.48,,,,,5.66,,,,,5.79,,,,,5.86,,,,,6.03,,,,,6.11,,,,,6.82,,,,,7.06,,,,,7.01,,,,,7.02,,,,,7.53,,,,,8.89,,,,,10.3,,,,,11.6,,,,,13.1,,,,,14.6,,,,,16,,,,,17.3,,,,,18.5,,,,,19.8,,,,,21.2,,,,,23,,,,,24.2,,,,,24.8,,,,,25.3,,,,,25.9,,,,,26.5,,,,,27.1,,,,,27.7
Namibia,6.25,,,,,5.75,,,,,5.48,,,,,5.4,,,,,5.24,,,,,5.13,,,,,5.12,,,,,5.08,,,,,5.27,,,,,5.08,,,,,4.94,,,,,5.02,,,,,5.18,,,,,5.37,,,,,5.71,,,,,6.23,,,,,6.81,,,,,7.53,,,,,8.42,,,,,9.45,,,,,10.9,,,,,12.6,,,,,14.2,,,,,15.6,,,,,16.9,,,,,18.7,,,,,20.3,,,,,21.9,,,,,23.4,,,,,24.7,,,,,26
Nepal,3.66,,,,,4.09,,,,,4.39,,,,,4.63,,,,,4.88,,,,,5.06,,,,,5.16,,,,,5.27,,,,,5.67,,,,,5.67,,,,,5.88,,,,,6.68,,,,,7.42,,,,,8.54,,,,,9.05,,,,,9.81,,,,,10.8,,,,,12.1,,,,,13.7,,,,,15.6,,,,,18,,,,,21.1,,,,,24.9,,,,,28.7,,,,,31.7,,,,,33.6,,,,,35.4,,,,,36.9,,,,,38.1,,,,,38.8,,,,,39.2
Netherlands,10.4,,,,,11,,,,,11.7,,,,,12.2,,,,,12.7,,,,,13.1,,,,,13.4,,,,,14.1,,,,,17.2,,,,,17.7,,,,,18.2,,,,,19.3,,,,,22,,,,,24.1,,,,,26.5,,,,,29.1,,,,,31.5,,,,,32.7,,,,,33,,,,,33.3,,,,,33.7,,,,,34.2,,,,,34.5,,,,,35,,,,,35.3,,,,,35.5,,,,,35.9,,,,,36.3,,,,,36.7,,,,,37.1,,,,,37.4
New Zealand,12,,,,,11.4,,,,,10.8,,,,,10.4,,,,,11,,,,,11.3,,,,,12,,,,,12.6,,,,,15.2,,,,,15.3,,,,,15.8,,,,,16.4,,,,,18.4,,,,,20,,,,,22.2,,,,,24.5,,,,,26.3,,,,,27.7,,,,,28.1,,,,,28.6,,,,,29.4,,,,,30.6,,,,,31.4,,,,,32,,,,,32.9,,,,,33.8,,,,,34.7,,,,,35.4,,,,,36,,,,,36.6,,,,,37.1
Nicaragua,4.41,,,,,4.09,,,,,3.84,,,,,3.78,,,,,3.81,,,,,3.9,,,,,4.04,,,,,4.29,,,,,4.95,,,,,5.24,,,,,5.61,,,,,6.14,,,,,6.53,,,,,7.77,,,,,9.34,,,,,10.8,,,,,12.4,,,,,14.5,,,,,17,,,,,20.1,,,,,23.2,,,,,26.2,,,,,28.8,,,,,31.1,,,,,33.4,,,,,35.2,,,,,36.8,,,,,38,,,,,38.9,,,,,39.6,,,,,40.1
Niger,1.54,,,,,1.89,,,,,2.37,,,,,2.72,,,,,3.01,,,,,3.19,,,,,3.34,,,,,3.56,,,,,3.91,,,,,4.01,,,,,4,,,,,4.06,,,,,4.09,,,,,4.13,,,,,4.24,,,,,4.34,,,,,4.17,,,,,4.04,,,,,4,,,,,4.01,,,,,4.05,,,,,4.22,,,,,4.65,,,,,5.28,,,,,6.01,,,,,6.84,,,,,7.75,,,,,8.77,,,,,9.89,,,,,11.1,,,,,12.4
Nigeria,4.91,,,,,4.81,,,,,4.81,,,,,4.71,,,,,4.65,,,,,4.6,,,,,4.56,,,,,4.62,,,,,4.79,,,,,4.75,,,,,4.69,,,,,4.6,,,,,4.54,,,,,4.48,,,,,4.52,,,,,4.62,,,,,4.79,,,,,5.11,,,,,5.54,,,,,6.01,,,,,6.43,,,,,6.86,,,,,7.43,,,,,8.21,,,,,9.15,,,,,10.2,,,,,11.3,,,,,12.4,,,,,13.6,,,,,14.8,,,,,16.1
North Korea,4.93,,,,,5.29,,,,,5.05,,,,,4.98,,,,,4.83,,,,,4.89,,,,,5.28,,,,,5.75,,,,,6.96,,,,,8.36,,,,,10.2,,,,,11.9,,,,,12.9,,,,,12.7,,,,,15,,,,,16.6,,,,,20,,,,,23,,,,,23.7,,,,,24.9,,,,,26,,,,,27.3,,,,,28.5,,,,,29.6,,,,,30.3,,,,,30.9,,,,,31.8,,,,,32.6,,,,,33.4,,,,,34.1,,,,,34.5
North Macedonia,8.36,,,,,6.61,,,,,5.99,,,,,6.15,,,,,6.9,,,,,8,,,,,7.81,,,,,8.69,,,,,11.3,,,,,13.2,,,,,14.4,,,,,15.3,,,,,16.4,,,,,18.6,,,,,20.7,,,,,22.7,,,,,24.7,,,,,26.5,,,,,28.5,,,,,30.8,,,,,33,,,,,34.8,,,,,35.4,,,,,35.7,,,,,35.5,,,,,35.6,,,,,35.9,,,,,36.2,,,,,36.5,,,,,36.6,,,,,36.7
Norway,12,,,,,12.9,,,,,14.1,,,,,15.1,,,,,15.9,,,,,16.7,,,,,17.4,,,,,17.9,,,,,21,,,,,20.1,,,,,19.4,,,,,19.8,,,,,21,,,,,21.8,,,,,23.2,,,,,24.6,,,,,26.3,,,,,27.6,,,,,28.1,,,,,28.6,,,,,29.4,,,,,30.1,,,,,30.7,,,,,31.2,,,,,31.8,,,,,32.3,,,,,32.9,,,,,33.5,,,,,34.2,,,,,34.8,,,,,35.3
Oman,4.75,,,,,4.74,,,,,4.88,,,,,5.02,,,,,5,,,,,4.68,,,,,4.01,,,,,3.44,,,,,3.53,,,,,3.32,,,,,3.98,,,,,4.11,,,,,3.9,,,,,3.84,,,,,4.23,,,,,5.5,,,,,7.15,,,,,9.64,,,,,12.6,,,,,16.1,,,,,20.3,,,,,24.3,,,,,27.4,,,,,29.6,,,,,32.1,,,,,34.7,,,,,36.7,,,,,37.8,,,,,37.9,,,,,37.9,,,,,37.9
Pakistan,6.79,,,,,6.07,,,,,5.6,,,,,5.4,,,,,5.34,,,,,5.44,,,,,5.51,,,,,5.52,,,,,6,,,,,6.09,,,,,6.23,,,,,6.48,,,,,6.56,,,,,6.6,,,,,7.04,,,,,7.72,,,,,8.47,,,,,9.24,,,,,10.2,,,,,11.4,,,,,12.9,,,,,14.4,,,,,15.7,,,,,16.6,,,,,17.9,,,,,19.4,,,,,20.9,,,,,22.2,,,,,23.4,,,,,24.5,,,,,25.6
Palestine,6.94,,,,,6.33,,,,,5.42,,,,,4.56,,,,,3.94,,,,,3.44,,,,,3.2,,,,,3.17,,,,,3.4,,,,,3.5,,,,,3.74,,,,,4.01,,,,,4.33,,,,,4.53,,,,,4.83,,,,,5.49,,,,,6.28,,,,,7.13,,,,,8.12,,,,,9.18,,,,,10.5,,,,,12.3,,,,,13.9,,,,,15.3,,,,,16.7,,,,,18.3,,,,,20,,,,,21.6,,,,,23.2,,,,,24.6,,,,,26.1
Panama,5.2,,,,,5.14,,,,,5.11,,,,,5.14,,,,,5.2,,,,,5.32,,,,,5.52,,,,,5.75,,,,,6.91,,,,,7.4,,,,,8,,,,,8.77,,,,,9.69,,,,,10.8,,,,,12.3,,,,,14,,,,,15.9,,,,,17.9,,,,,19.7,,,,,21.4,,,,,22.9,,,,,24.3,,,,,25.8,,,,,27.1,,,,,28.4,,,,,29.9,,,,,31.2,,,,,32.4,,,,,33.5,,,,,34.6,,,,,35.5
Papua New Guinea,5.68,,,,,4.52,,,,,4.19,,,,,4.07,,,,,4.09,,,,,4.13,,,,,4.18,,,,,4.28,,,,,4.75,,,,,4.89,,,,,5,,,,,5.13,,,,,5.38,,,,,5.9,,,,,6.44,,,,,7.01,,,,,7.64,,,,,8.38,,,,,9.22,,,,,10.1,,,,,10.8,,,,,11.6,,,,,12.6,,,,,13.7,,,,,14.8,,,,,15.7,,,,,16.7,,,,,17.6,,,,,18.6,,,,,19.6,,,,,20.6
Paraguay,4.17,,,,,4.39,,,,,4.63,,,,,4.83,,,,,4.98,,,,,5.19,,,,,5.36,,,,,5.46,,,,,6.18,,,,,6.21,,,,,6.54,,,,,7.07,,,,,7.89,,,,,9.01,,,,,10.1,,,,,11.1,,,,,12,,,,,12.8,,,,,14.2,,,,,16.1,,,,,18.4,,,,,20.6,,,,,22.8,,,,,24.4,,,,,25.8,,,,,27.1,,,,,28.3,,,,,29.6,,,,,30.8,,,,,31.8,,,,,32.8
Peru,5.35,,,,,5.34,,,,,5.35,,,,,5.26,,,,,5.23,,,,,5.24,,,,,5.19,,,,,5.29,,,,,6.07,,,,,6.6,,,,,7.25,,,,,8.13,,,,,8.95,,,,,9.97,,,,,11.2,,,,,12.8,,,,,14.6,,,,,16.5,,,,,18.6,,,,,20.6,,,,,22.8,,,,,24.9,,,,,26.7,,,,,28.3,,,,,29.9,,,,,31.5,,,,,33,,,,,34.2,,,,,35.3,,,,,36.2,,,,,36.9
Philippines,5.16,,,,,4.73,,,,,4.5,,,,,4.4,,,,,4.56,,,,,4.65,,,,,4.57,,,,,4.5,,,,,4.73,,,,,4.87,,,,,5.11,,,,,5.45,,,,,6.52,,,,,7.28,,,,,8.23,,,,,9.22,,,,,10.3,,,,,11.2,,,,,12.1,,,,,13.1,,,,,14.2,,,,,15.6,,,,,17,,,,,18.3,,,,,19.6,,,,,20.9,,,,,22.3,,,,,23.6,,,,,24.9,,,,,26.1,,,,,27.3
Poland,7.5,,,,,7.68,,,,,8.62,,,,,10.2,,,,,11.9,,,,,12.7,,,,,11.7,,,,,12,,,,,14.7,,,,,15.6,,,,,16.5,,,,,17,,,,,19.4,,,,,22.6,,,,,25.8,,,,,27.6,,,,,28.9,,,,,30.9,,,,,33.8,,,,,37.1,,,,,39.5,,,,,41.2,,,,,41.7,,,,,41.4,,,,,41.8,,,,,41.9,,,,,41.6,,,,,41,,,,,40.5,,,,,40.1,,,,,39.9
Portugal,9.35,,,,,9.91,,,,,10.4,,,,,11.4,,,,,12.7,,,,,13.5,,,,,14,,,,,14.9,,,,,19,,,,,20.5,,,,,21.7,,,,,22.5,,,,,24.7,,,,,27,,,,,29.3,,,,,32,,,,,34.5,,,,,37.4,,,,,39.9,,,,,41.3,,,,,41.7,,,,,41.9,,,,,42.2,,,,,42.6,,,,,42.8,,,,,42.7,,,,,42.3,,,,,41.8,,,,,41.6,,,,,41.5,,,,,41.5
Qatar,5.41,,,,,4.72,,,,,4.32,,,,,3.48,,,,,2.92,,,,,3.11,,,,,2.4,,,,,1.79,,,,,2.28,,,,,2.49,,,,,2.97,,,,,2.46,,,,,1.83,,,,,2.34,,,,,3.62,,,,,5.67,,,,,8.61,,,,,11.4,,,,,13.6,,,,,15.6,,,,,18.2,,,,,21.5,,,,,24.2,,,,,26.6,,,,,28.6,,,,,30.1,,,,,31.2,,,,,32.1,,,,,32.8,,,,,33.3,,,,,33.8
Romania,8.6,,,,,9.17,,,,,9.99,,,,,11.1,,,,,12,,,,,12.9,,,,,11.9,,,,,12.8,,,,,15.7,,,,,17.5,,,,,19.2,,,,,19.6,,,,,21.4,,,,,23.9,,,,,25.8,,,,,26,,,,,28.4,,,,,30.6,,,,,32.9,,,,,33.7,,,,,35.4,,,,,35.7,,,,,35.7,,,,,35.6,,,,,35.8,,,,,35.8,,,,,35.9,,,,,36,,,,,36.1,,,,,36.2,,,,,36.5
Russia,7.13,,,,,7.73,,,,,8.36,,,,,9.39,,,,,10.8,,,,,12.5,,,,,12.2,,,,,12.4,,,,,16.2,,,,,16.8,,,,,18.4,,,,,17.2,,,,,18,,,,,20.1,,,,,22.4,,,,,24.3,,,,,24.5,,,,,25.4,,,,,26.4,,,,,28,,,,,29.9,,,,,29.7,,,,,28.2,,,,,27.2,,,,,27,,,,,27.9,,,,,28.6,,,,,29.2,,,,,29.4,,,,,29.5,,,,,29.8
Rwanda,4.83,,,,,4.75,,,,,4.59,,,,,4.35,,,,,4.04,,,,,3.7,,,,,3.34,,,,,3.4,,,,,3.88,,,,,3.75,,,,,4.32,,,,,4.1,,,,,4.15,,,,,4.64,,,,,5.27,,,,,6.2,,,,,6.54,,,,,7.1,,,,,8.07,,,,,9.76,,,,,11.6,,,,,12.7,,,,,14.1,,,,,15.8,,,,,17.8,,,,,19.8,,,,,21.6,,,,,23.3,,,,,24.9,,,,,26.6,,,,,28.3
Samoa,3.6,,,,,3.33,,,,,3.5,,,,,3.45,,,,,3.6,,,,,3.98,,,,,4.27,,,,,4.82,,,,,5.9,,,,,6.39,,,,,6.56,,,,,6.94,,,,,7.21,,,,,8.02,,,,,9.28,,,,,10.7,,,,,12.3,,,,,13.4,,,,,14,,,,,14.3,,,,,14.4,,,,,15.3,,,,,16.7,,,,,18.3,,,,,20.9,,,,,22.9,,,,,24.4,,,,,25.7,,,,,27.1,,,,,28.8,,,,,30.5
